,Facebook Id
3918,421916351243622
3921,100044306180096
3958,100064528636556
3971,100044286766862
3976,100039448518932
4010,100050483769957
4022,100067489220391
4023,100063971925286
4026,100063606251783
4027,100057822741759
4040,157534010943620
4053,775853195855367
4087,100044652820454
4103,100044366888713
4122,197466746946583
4149,100045313320763
4185,986570928103757
4284,100063802429260
4348,100050164433688
4354,117915776278515
4358,275157352612637
4433,100063649015857
4437,100063561641617
4463,100063741163482
4505,2025274611048379
4536,200196826663304
4539,100047235392072
4601,630147760380313
4625,1801534950114967
4630,100052625694150
4631,100050263669007
4637,117428688429505
4662,372577693078008
4666,113501605370349
4673,237747396687532
4674,100047004101837
4679,854790171212743
4680,116237381812974
4711,765788216785161
4716,468858439823492
4751,1504355816499524
4764,107442790616117
4844,100063714965262
4879,390441094436167
4905,100057777950528
4933,100063586553488
5054,371588709663931
5164,100050347426128
5166,100050225720737
5174,284976635363927
5266,809686759194027
5277,100057704333654
5289,2169775406401434
5298,100028375496794
5344,100058201266473
5347,100047384160887
5500,121604867852952
5526,639901746024050
5587,181619051848223
5588,458154107872799
5595,246655888832648
5670,139695676118538
5685,1474181492795197
5746,100044337974043
5802,100034733426879
5832,452171961802521
5872,2441347432596266
5904,100063564967594
5920,461675153970676
5934,67815557153
5991,217291871624432
6024,2385922698145633
6025,100063760621437
6026,189399682783
6028,775323169236907
6029,100023993208173
6035,117653088825900
6041,785943664810206
6042,1514000118892183
6043,100057602345073
6044,436863523438815
6056,234755983865566
6063,100380878011923
6066,234954666597080
6087,1274897582615319
6092,436596279764841
6094,100064451181386
6097,100063877623292
6126,1805402349489364
6159,100064451032385
6183,473102753439903
6272,983997691692598
6315,100064281535704
6387,202200683123822
6435,172972776067657
6479,100064588066520
6499,101461529938837
6508,168923119884491
6649,114943645186604
6662,371625973044212
6676,100064726747300
6718,100044531915446
6799,100058037289286
6806,105959324365365
6886,2288653421242324
6945,455201267993913
6951,100064726747038
6993,101165425045620
7001,100064765180489
7010,1295809670475590
7135,229531177057000
7232,555537301157968
7288,465754953549812
7339,1594430930865093
7359,100044473297846
7392,687593908112750
7493,100066776381977
7639,106034127676347
7752,328856740498244
7806,821553174559041
7822,100068924301330
7954,100063911711049
7969,100064940490598
8056,100054190365864
8100,238207916670560
8148,168873859793378
8240,100058174924914
8338,100063451875020
8638,644629905553452
8796,280274349241604
8799,2137856416484007
8809,1823218857791216
8860,329193854483194
9008,1481701532042689
9054,1846518608908268
9198,100050455631278
9213,386322010976
9217,774869952531206
9225,1896207020669328
9229,100064838314926
9230,1495088960818900
9231,100044526190314
9233,100063509805340
